seed,step,eval_reward,K,critic_loss,actor_loss
42,1000,500.0,15,-0.10859297215938568,-0.6105306148529053
42,2000,500.0,15,-0.11333085596561432,-1.1226506233215332
42,3000,500.0,15,-0.11472821980714798,-1.6090943813323975
42,4000,500.0,15,-0.1119413748383522,-2.0637502670288086
42,5000,500.0,15,-0.09371290355920792,-2.4784576892852783
42,6000,500.0,15,-0.1167188435792923,-2.9096691608428955
42,7000,500.0,15,-0.07208771258592606,-3.2754392623901367
42,8000,500.0,15,-0.11437162756919861,-3.631403923034668
42,9000,500.0,15,-0.10694564878940582,-3.98240327835083
42,10000,500.0,15,-0.11109885573387146,-4.323090553283691
42,11000,500.0,15,-0.03227801248431206,-4.602813720703125
42,12000,500.0,15,-0.02221023663878441,-4.90806770324707
42,13000,500.0,15,-0.10944949090480804,-5.191788673400879
42,14000,500.0,15,-0.11634844541549683,-5.464616775512695
42,15000,500.0,15,-0.11408806592226028,-5.731306076049805
42,16000,500.0,15,-0.1076802983880043,-5.921573638916016
42,17000,500.0,15,-0.11546935886144638,-6.186474800109863
42,18000,500.0,15,-0.10768172144889832,-6.426665306091309
42,19000,500.0,15,-0.1002788096666336,-6.627683162689209
42,20000,500.0,15,-0.10942433029413223,-6.848490238189697
