seed,step,eval_reward,K,critic_loss,actor_loss
42,1000,71.0,1,-29.820690155029297,60.162086486816406
42,2000,94.2,1,-47.7865104675293,223.942138671875
42,3000,100.2,1,-31.784088134765625,626.7410888671875
42,4000,182.8,1,-136.78170776367188,888.7227783203125
42,5000,63.8,1,41.14036560058594,1552.304931640625
42,6000,415.0,1,-210.64869689941406,2770.635986328125
42,7000,365.4,1,265.8287048339844,2876.672119140625
42,8000,343.0,1,791.7515869140625,3267.1435546875
42,9000,376.0,1,741.8853149414062,3485.1376953125
42,10000,378.4,1,548.4852294921875,4459.5107421875
42,11000,320.6,1,177.41925048828125,5229.5654296875
42,12000,409.2,1,507.6567687988281,4933.9072265625
42,13000,256.4,1,4466.626953125,7139.947265625
42,14000,287.0,1,-1010.851806640625,8672.16015625
42,15000,347.2,1,51.78948974609375,9012.9296875
42,16000,289.6,1,-180.1861572265625,8876.603515625
42,17000,138.0,1,5530.12548828125,11824.63671875
42,18000,377.4,1,399.56591796875,11970.66015625
42,19000,253.8,1,-87.17041015625,12489.08984375
42,20000,467.0,1,847.0018310546875,15564.765625
