step,eval_reward,critic_loss,actor_loss
1000,9.6,-0.8935410976409912,-5.303004741668701
2000,9.4,-0.7914154529571533,-9.201767921447754
3000,9.8,0.7547469139099121,-13.0414400100708
4000,20.0,-0.6346613168716431,-16.752893447875977
5000,404.2,-0.5181446671485901,-20.056983947753906
6000,500.0,-0.4827171564102173,-23.9488468170166
7000,500.0,5.8435821533203125,-27.41187858581543
8000,500.0,7.316526412963867,-30.73659324645996
9000,500.0,8.813698768615723,-33.5519905090332
10000,500.0,-0.218705415725708,-36.1992301940918
11000,500.0,-0.15008729696273804,-39.39015197753906
12000,500.0,-0.10622310638427734,-42.102195739746094
13000,500.0,-0.10346055030822754,-44.844215393066406
14000,500.0,-0.03990143537521362,-47.410743713378906
15000,500.0,0.016206681728363037,-49.13433837890625
16000,500.0,0.041905999183654785,-51.79602813720703
17000,500.0,0.10873293876647949,-53.690185546875
18000,500.0,21.6589412689209,-54.868865966796875
19000,500.0,0.1642359495162964,-58.044586181640625
20000,500.0,0.15510022640228271,-59.77818298339844
